school_year,school_number,classroom_number,number_of_teachers,number_of_students,year_start,year_end
1990/1991,3723,49842,96791,1177612,1990,1991
1991/1992,3820,50405,95559,1124098,1991,1992
1992/1993,3901,50979,94980,1082671,1992,1993
1993/1994,3962,51364,95753,1041007,1993,1994
1994/1995,4010,51957,96141,1008267,1994,1995
1995/1996,4006,51892,93035,992766,1995,1996
1996/1997,3965,51533,89792,980522,1996,1997
1997/1998,3952,51944,89238,976566,1997,1998
1998/1999,3931,52489,89570,976342,1998,1999
1999/2000,3897,52526,89424,972901,1999,2000
2000/2001,3875,43500,89750,960790,2000,2001
2001/2002,3852,43195,90294,947037,2001,2002
2002/2003,3793,42603,89035,933171,2002,2003
2003/2004,3748,42051,89784,912959,2003,2004
2004/2005,3690,41581,87116,890551,2004,2005
2005/2006,3614,40980,85469,861858,2005,2006
2006/2007,3591,40513,83606,831262,2006,2007
2007/2008,3418,38784,78073,811405,2007,2008
2008/2009,3363,37952,75606,790722,2008,2009
2009/2010,3343,37463,74241,775741,2009,2010
2010/2011,3306,37045,73565,758566,2010,2011
2011/2012,3252,36338,72501,749865,2011,2012
2012/2013,3251,35960,72048,745058,2012,2013
2013/2014,3605,36274,73906,750333,2013,2014
2014/2015,3621,36476,75704,751034,2014,2015
2015/2016,3594,36659,77120,747616,2015,2016
2016/2017,3587,36890,77633,743837,2016,2017
2017/2018,3585,36850,77093,734896,2017,2018
2018/2019,3575,36924,76461,728706,2018,2019
2019/2020,3601,37094,75428,723540,2019,2020
2020/2021,3611,37459,75157,729300,2020,2021
2021/2022,3625,37664,74481,723822,2021,2022
2022/2023,3575,37700,73675,719118,2022,2023
2023/2024,3550,37788,72514,716436,2023,2024
